retailer_country,order_method_type,retailer_type,product_line,product_type,product,year,quarter,revenue,quantity,gross_margin
Singapore,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2012,Q2 2012,25319.84,364,0.24468085
France,Web,Department Store,Personal Accessories,Eyewear,Dante,2014,Q2 2014,23415.9,534,0.36450873
Brazil,Web,Warehouse Store,Camping Equipment,Tents,Star Gazer 2,2012,Q3 2012,112231.35,205,0.28293788
Poland,Web,Sports Store,Personal Accessories,Eyewear,Trendi,2012,Q3 2012,28520.1,567,0.38996287
Japan,Web,Sports Store,Mountaineering Equipment,Tools,Granite Axe,2014,Q1 2014,57139.2,1488,0.49166667
Italy,Web,Golf Shop,Personal Accessories,Watches,Legend,2014,Q2 2014,31979.8,122,0.43199832
France,Fax,Sports Store,Personal Accessories,Knives,Edge Extreme,2012,Q2 2012,16651.48,148,0.28895209
France,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2014,Q1 2014,4853.75,275,0.50991501
Sweden,Web,Sports Store,Camping Equipment,Sleeping Bags,Hibernator,2012,Q2 2012,34919.06,253,0.3769019
Austria,Web,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shield,2013,Q3 2013,1554.0,259,0.54
United Kingdom,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2013,Q1 2013,30632.32,592,0.5678708
France,Web,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2014,Q2 2014,80271.1,91,0.49110078
Japan,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator,2012,Q2 2012,92335.38,669,0.3769019
Denmark,Web,Golf Shop,Personal Accessories,Eyewear,Trendi,2012,Q3 2012,8752.2,174,0.39204771
Switzerland,Web,Eyewear Store,Personal Accessories,Binoculars,Ranger Vision,2013,Q4 2013,15724.8,91,0.44444444
Brazil,Web,Outdoors Shop,Camping Equipment,Lanterns,Flicker Lantern,2012,Q4 2012,4459.24,131,0.54112808
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2014,Q2 2014,12982.5,250,0.56942037
Japan,Web,Department Store,Camping Equipment,Tents,Star Peg,2012,Q4 2012,3777.84,1908,0.49494949
Denmark,Web,Outdoors Shop,Personal Accessories,Eyewear,Hawk Eye,2013,Q1 2013,22194.0,548,0.39653915
Brazil,Web,Sports Store,Personal Accessories,Watches,Zodiak,2013,Q1 2013,30584.6,289,0.42381525
Mexico,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2013,Q2 2013,56309.4,762,0.28955023
Canada,Mail,Direct Marketing,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q1 2013,2905.0,581,0.63
Belgium,Web,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator,2012,Q3 2012,15563.98,106,0.41428863
Australia,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2013,Q4 2013,10998.0,611,0.52611111
United Kingdom,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2013,Q1 2013,44688.0,294,0.33611842
Belgium,Web,Eyewear Store,Personal Accessories,Watches,Lux,2013,Q3 2013,3951.2,22,0.47060134
United States,Web,Department Store,Camping Equipment,Lanterns,EverGlow Lamp,2012,Q4 2012,133956.13,5052,0.3222823
Japan,Web,Sports Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q3 2013,14623.54,551,0.33006782
Austria,Telephone,Outdoors Shop,Camping Equipment,Tents,Star Dome,2012,Q4 2012,62407.68,102,0.35277197
Spain,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cup,2012,Q3 2012,4565.3,1286,0.76056338
Spain,Sales visit,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2014,Q3 2014,36336.24,1962,0.4600432
Germany,Web,Sports Store,Personal Accessories,Eyewear,Trendi,2012,Q4 2012,64585.2,1284,0.39122214
Australia,Telephone,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2012,Q4 2012,11337.7,55,0.61336955
United States,Web,Department Store,Personal Accessories,Eyewear,Capri,2013,Q2 2013,106818.7,2789,0.34403967
United States,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cup,2012,Q4 2012,21792.66,8552,0.66643815
Sweden,Web,Golf Shop,Personal Accessories,Navigation,Astro Pilot,2014,Q1 2014,7685.0,53,0.37661418
United Kingdom,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2012,Q3 2012,37651.6,1921,0.49540816
Singapore,Special,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2012,Q3 2012,23781.98,3842,0.5266559
Poland,Web,Department Store,Mountaineering Equipment,Safety,Granite Climbing Helmet,2014,Q3 2014,51670.5,735,0.25263158
Canada,Web,Department Store,Camping Equipment,Lanterns,EverGlow Butane,2012,Q3 2012,8274.96,128,0.37152083
Japan,Web,Outdoors Shop,Personal Accessories,Eyewear,Inferno,2012,Q2 2012,128078.45,2002,0.41420301
Singapore,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Double,2012,Q4 2012,2242.45,43,0.44870566
Austria,Web,Department Store,Personal Accessories,Eyewear,Inferno,2014,Q1 2014,20124.4,288,0.4393885
Brazil,Web,Sports Store,Personal Accessories,Navigation,Auto Pilot,2013,Q4 2013,11985.0,51,0.34829787
Finland,Web,Golf Shop,Personal Accessories,Watches,Infinity,2013,Q4 2013,22455.4,94,0.45889363
Japan,Web,Department Store,Personal Accessories,Navigation,Sky Pilot,2012,Q4 2012,10740.0,30,0.33301676
United Kingdom,Web,Direct Marketing,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2014,Q1 2014,6510.0,186,0.59885714
Switzerland,Web,Eyewear Store,Personal Accessories,Knives,Pocket Gizmo,2014,Q3 2014,2618.7,203,0.63255814
France,Web,Department Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2014,Q1 2014,137664.91,163,0.50270552
Austria,Web,Golf Shop,Personal Accessories,Watches,Lux,2013,Q1 2013,51275.6,302,0.47728276
Australia,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q2 2013,174367.2,642,0.38637703
Sweden,Telephone,Outdoors Shop,Personal Accessories,Eyewear,Polar Ice,2013,Q2 2013,2200.0,20,0.54827273
United States,Sales visit,Department Store,Camping Equipment,Lanterns,Firefly 2,2013,Q3 2013,18478.98,689,0.37844892
Japan,Fax,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2012,Q2 2012,28304.76,451,0.26099426
China,Web,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2014,Q1 2014,2121.53,353,0.69550749
Japan,Sales visit,Sports Store,Golf Equipment,Irons,Hailstorm Steel Irons,2014,Q3 2014,68320.2,156,0.49537618
Singapore,Web,Department Store,Camping Equipment,Tents,Star Gazer 3,2012,Q4 2012,210015.3,330,0.3306202
Italy,E-mail,Sports Store,Personal Accessories,Knives,Single Edge,2012,Q3 2012,32823.33,2733,0.28726062
Italy,Web,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q3 2013,4410.0,882,0.63
Netherlands,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2013,Q2 2013,98279.4,1398,0.25263158
Netherlands,Web,Direct Marketing,Outdoor Protection,Insect Repellents,BugShield Spray,2014,Q2 2014,1424.37,237,0.69550749
Finland,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2014,Q1 2014,86385.4,22733,0.48421053
France,Sales visit,Outdoors Shop,Personal Accessories,Knives,Double Edge,2014,Q1 2014,10944.01,671,0.29920294
Denmark,Web,Department Store,Camping Equipment,Lanterns,Firefly Mapreader,2012,Q3 2012,17654.68,1117,0.52547993
France,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2014,Q3 2014,18896.68,1474,0.58346334
Sweden,Web,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Kettle,2013,Q4 2013,19047.69,1501,0.59732072
Canada,Telephone,Warehouse Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q3 2013,85743.41,289,0.28096667
Canada,Mail,Department Store,Personal Accessories,Binoculars,Seeker 35,2012,Q4 2012,18903.27,191,0.28069112
Australia,Sales visit,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Canteen,2012,Q3 2012,5820.72,474,0.46091205
Finland,Web,Eyewear Store,Personal Accessories,Eyewear,Bella,2013,Q3 2013,10395.0,154,0.45417989
Japan,E-mail,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Kettle,2013,Q3 2013,25151.58,1982,0.59732072
United States,Sales visit,Department Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q4 2013,4440.0,888,0.63
United States,Web,Eyewear Store,Personal Accessories,Eyewear,Fairway,2014,Q3 2014,5121.25,241,0.41647059
Brazil,Web,Department Store,Camping Equipment,Lanterns,EverGlow Single,2013,Q4 2013,23769.0,695,0.45204678
Switzerland,Web,Direct Marketing,Outdoor Protection,Insect Repellents,BugShield Natural,2014,Q3 2014,1494.0,249,0.69
Sweden,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2013,Q1 2013,4068.0,226,0.52611111
Spain,Web,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2013,Q4 2013,70527.6,411,0.46503497
Australia,Web,Eyewear Store,Personal Accessories,Eyewear,Maximus,2012,Q4 2012,28020.0,345,0.49573947
United States,E-mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2014,Q2 2014,8333.92,1063,0.59821429
Germany,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Lite,2012,Q2 2012,25234.64,298,0.29145017
Poland,Sales visit,Department Store,Personal Accessories,Navigation,Glacier GPS Extreme,2012,Q3 2012,34140.02,101,0.4779303
Finland,Web,Eyewear Store,Personal Accessories,Eyewear,Maximus,2014,Q2 2014,52863.0,599,0.51001986
Spain,Web,Sports Store,Personal Accessories,Eyewear,Polar Sun,2013,Q4 2013,35516.29,581,0.57222024
Switzerland,Web,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,2014,Q3 2014,35733.6,360,0.3426355
Mexico,Web,Eyewear Store,Personal Accessories,Eyewear,Hawk Eye,2013,Q1 2013,7290.0,180,0.43530864
China,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2012,Q4 2012,85767.48,1233,0.24468085
Austria,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Lotion,2014,Q1 2014,959.0,137,0.66714286
Canada,Web,Golf Shop,Personal Accessories,Watches,Legend,2014,Q3 2014,17833.2,66,0.44581791
United Kingdom,Web,Sports Store,Personal Accessories,Eyewear,Cat Eye,2013,Q3 2013,69741.35,1982,0.34237221
Sweden,Web,Sports Store,Personal Accessories,Binoculars,Seeker 35,2014,Q1 2014,26607.98,266,0.28831351
Canada,Web,Department Store,Personal Accessories,Watches,Kodiak,2013,Q2 2013,35247.9,293,0.43899466
Germany,E-mail,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2013,Q3 2013,33976.8,198,0.46503497
Mexico,Web,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2014,Q3 2014,40370.4,280,0.4798169
Canada,Web,Sports Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2014,Q2 2014,5257.0,751,0.65428571
France,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Carryall,2013,Q2 2013,48811.17,699,0.41028211
Singapore,Web,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q4 2013,197590.4,224,0.48883347
Germany,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2014,Q3 2014,32500.8,610,0.34365616
Spain,Telephone,Department Store,Personal Accessories,Eyewear,Polar Wave,2013,Q1 2013,2103.64,22,0.56996444
Singapore,Web,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q3 2013,6172.8,320,0.48159668
Austria,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2012,Q4 2012,10960.4,470,0.31689537
Switzerland,Web,Eyewear Store,Personal Accessories,Eyewear,Fairway,2012,Q4 2012,7898.8,392,0.39801489
Poland,Web,Department Store,Personal Accessories,Eyewear,Cat Eye,2012,Q4 2012,51118.35,1707,0.31848015
Spain,Web,Sports Store,Personal Accessories,Eyewear,Fairway,2013,Q3 2013,57248.5,2788,0.40468397
Netherlands,Web,Outdoors Shop,Personal Accessories,Eyewear,Cat Eye,2013,Q1 2013,39926.95,1124,0.33631495
Australia,Telephone,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q2 2013,89356.4,329,0.38637703
Netherlands,Web,Outdoors Shop,Personal Accessories,Eyewear,Maximus,2012,Q3 2012,61999.0,720,0.49450314
United States,Sales visit,Department Store,Personal Accessories,Eyewear,Polar Sports,2013,Q3 2013,6644.49,57,0.49489577
Germany,Web,Direct Marketing,Personal Accessories,Eyewear,Polar Ice,2014,Q2 2014,2471.56,26,0.47727751
China,Web,Department Store,Personal Accessories,Knives,Pocket Gizmo,2013,Q3 2013,2967.0,230,0.59767442
United Kingdom,Web,Warehouse Store,Camping Equipment,Lanterns,Firefly Mapreader,2013,Q1 2013,5261.67,323,0.53959484
Switzerland,Sales visit,Direct Marketing,Camping Equipment,Tents,Star Dome,2013,Q2 2013,64926.75,105,0.35958599
Japan,Web,Department Store,Personal Accessories,Watches,Lux,2014,Q2 2014,7691.2,46,0.4923445
Mexico,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2012,Q2 2012,22694.1,940,0.40746582
Japan,Web,Outdoors Shop,Personal Accessories,Watches,Lux,2012,Q3 2012,59857.6,358,0.47242923
Netherlands,Web,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q1 2013,7457.74,281,0.33006782
Canada,Web,Golf Shop,Personal Accessories,Binoculars,Opera Vision,2012,Q3 2012,7040.0,64,0.54190909
Poland,Web,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2012,Q4 2012,147858.24,226,0.47786745
Finland,Web,Eyewear Store,Personal Accessories,Watches,Legend,2014,Q1 2014,8916.6,33,0.44441155
Germany,E-mail,Sports Store,Camping Equipment,Tents,Star Dome,2014,Q2 2014,24733.82,38,0.39160227
Switzerland,Special,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2012,Q3 2012,27166.07,109,0.39814629
France,Web,Sports Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2014,Q3 2014,85662.72,99,0.51345229
Canada,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Extreme,2012,Q4 2012,118966.4,1582,0.38138298
United States,Web,Equipment Rental Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q2 2013,44542.08,836,0.34365616
Sweden,Web,Outdoors Shop,Personal Accessories,Eyewear,Fairway,2013,Q4 2013,61986.25,2917,0.41352268
Switzerland,Sales visit,Sports Store,Personal Accessories,Eyewear,Polar Sun,2012,Q3 2012,5967.48,97,0.57493783
United States,Web,Warehouse Store,Camping Equipment,Tents,Star Lite,2012,Q4 2012,726804.88,2089,0.28144401
Finland,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2012,Q4 2012,121217.36,424,0.47535766
Denmark,Web,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q4 2013,59752.0,220,0.38637703
Spain,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2012,Q3 2012,16694.07,723,0.31009095
Sweden,Web,Sports Store,Outdoor Protection,First Aid,Calamine Relief,2012,Q4 2012,654.0,109,0.52833333
Belgium,Web,Sports Store,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2012,Q3 2012,117092.36,98,0.42250716
Italy,Web,Sports Store,Personal Accessories,Watches,Kodiak,2013,Q1 2013,27818.2,221,0.46243898
Canada,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2014,Q2 2014,11920.03,817,0.44345442
Brazil,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Mapreader,2014,Q2 2014,8155.56,511,0.53007519
Belgium,Web,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q3 2013,48140.49,57,0.50270552
United States,Telephone,Sports Store,Personal Accessories,Eyewear,Bella,2012,Q4 2012,8257.5,122,0.44630336
Brazil,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q4 2013,9848.7,558,0.52124646
France,Web,Department Store,Personal Accessories,Eyewear,Zone,2013,Q3 2013,89069.85,2675,0.32790198
Poland,Web,Golf Shop,Personal Accessories,Watches,Venue,2013,Q3 2013,22484.0,308,0.4250338
Mexico,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,2012,Q2 2012,7129.38,93,0.49126011
Singapore,Web,Equipment Rental Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2013,Q3 2013,41042.98,197,0.61745224
France,Web,Sports Store,Personal Accessories,Eyewear,Maximus,2014,Q2 2014,274010.7,3152,0.50692148
Germany,Web,Warehouse Store,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2013,Q3 2013,100622.7,230,0.45397609
Finland,Web,Sports Store,Personal Accessories,Navigation,Glacier GPS Extreme,2012,Q2 2012,35492.1,105,0.4779303
Mexico,Mail,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2012,Q3 2012,13171.28,3503,0.4787234
United Kingdom,Web,Outdoors Shop,Personal Accessories,Binoculars,Seeker Extreme,2012,Q2 2012,46765.51,272,0.45257434
Germany,Web,Eyewear Store,Personal Accessories,Binoculars,Ranger Vision,2012,Q2 2012,39680.0,248,0.43879284
Switzerland,Sales visit,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2012,Q4 2012,52647.84,63,0.44955007
Brazil,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2012,Q4 2012,28861.38,783,0.50217037
Switzerland,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2013,Q4 2013,5070.88,82,0.57713454
Belgium,Web,Eyewear Store,Personal Accessories,Navigation,Sky Pilot,2013,Q1 2013,38306.0,107,0.33947476
Austria,Sales visit,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2013,Q3 2013,16207.4,695,0.31689537
Belgium,Web,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2013,Q4 2013,4989.52,188,0.33006782
Finland,Web,Eyewear Store,Personal Accessories,Watches,Legend,2013,Q4 2013,43216.4,164,0.42397701
Finland,Web,Sports Store,Personal Accessories,Knives,Bear Edge,2013,Q3 2013,18862.25,475,0.40745404
Brazil,Web,Sports Store,Personal Accessories,Knives,Bear Edge,2013,Q4 2013,7822.87,197,0.40745404
United States,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2014,Q2 2014,206871.03,2417,0.29898353
France,Telephone,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2012,Q4 2012,10240.56,264,0.42768755
Germany,E-mail,Sports Store,Personal Accessories,Eyewear,Polar Ice,2012,Q4 2012,7335.9,68,0.53939939
Singapore,Web,Outdoors Shop,Personal Accessories,Watches,Legend,2013,Q2 2013,149863.4,562,0.43596008
Finland,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2014,Q3 2014,54720.0,720,0.48723684
United Kingdom,Web,Outdoors Shop,Camping Equipment,Tents,Star Dome,2012,Q2 2012,44846.42,70,0.38189046
United States,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q2 2013,343900.62,4018,0.29898353
Austria,Telephone,Department Store,Personal Accessories,Watches,Mountain Man Analog,2012,Q2 2012,13651.5,285,0.3736952
Austria,Web,Sports Store,Personal Accessories,Watches,TX,2012,Q4 2012,143536.0,761,0.45878051
China,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q4 2012,222396.36,174,0.48311609
Japan,Mail,Sports Store,Personal Accessories,Binoculars,Seeker 50,2013,Q1 2013,11848.2,93,0.2733124
Austria,Web,Warehouse Store,Personal Accessories,Knives,Double Edge,2012,Q3 2012,6230.42,382,0.29920294
Italy,Web,Outdoors Shop,Personal Accessories,Eyewear,Hawk Eye,2013,Q4 2013,131825.75,3081,0.41452099
Japan,Web,Golf Shop,Personal Accessories,Knives,Pocket Gizmo,2013,Q1 2013,39216.0,3040,0.61278152
United Kingdom,Web,Sports Store,Personal Accessories,Eyewear,Inferno,2012,Q3 2012,107614.8,1664,0.39598438
Canada,Web,Golf Shop,Personal Accessories,Watches,Legend,2014,Q1 2014,33066.6,127,0.43729262
China,Web,Sports Store,Personal Accessories,Watches,Infinity,2012,Q2 2012,63980.0,283,0.4558934
Austria,Web,Golf Shop,Outdoor Protection,Insect Repellents,BugShield Natural,2014,Q2 2014,1710.0,285,0.69
Mexico,Web,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2014,Q1 2014,232410.2,263,0.49201584
Switzerland,Web,Warehouse Store,Personal Accessories,Navigation,Glacier Deluxe,2013,Q1 2013,11442.63,123,0.43028832
Netherlands,Web,Eyewear Store,Personal Accessories,Watches,Infinity,2013,Q4 2013,73574.6,311,0.46192191
Canada,E-mail,Outdoors Shop,Personal Accessories,Watches,TX,2014,Q3 2014,6048.0,32,0.45089947
Belgium,Web,Outdoors Shop,Personal Accessories,Eyewear,Zone,2012,Q4 2012,50933.2,1651,0.32290137
Switzerland,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Water Bag,2012,Q2 2012,8249.49,1291,0.54147105
Poland,Web,Department Store,Personal Accessories,Eyewear,Hawk Eye,2013,Q1 2013,14985.0,370,0.39624892
Australia,Web,Eyewear Store,Personal Accessories,Navigation,Auto Pilot,2014,Q1 2014,11045.0,47,0.35097872
Germany,Web,Sports Store,Personal Accessories,Watches,Infinity,2012,Q2 2012,132980.0,571,0.44337434
Austria,Sales visit,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q4 2013,16804.71,689,0.38499385
Denmark,Web,Eyewear Store,Personal Accessories,Eyewear,Polar Extreme,2013,Q2 2013,1334.7,9,0.5111261
France,Web,Golf Shop,Personal Accessories,Eyewear,Fairway,2014,Q2 2014,8053.75,379,0.41835294
France,Web,Department Store,Outdoor Protection,Sunscreen,Sun Shield,2013,Q3 2013,1452.0,242,0.54
France,Web,Golf Shop,Personal Accessories,Watches,TX,2012,Q4 2012,29428.0,159,0.45098274
Japan,Web,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS,2014,Q2 2014,50128.65,533,0.30887826
United States,Sales visit,Department Store,Personal Accessories,Binoculars,Seeker 50,2013,Q2 2013,51214.8,402,0.2733124
Switzerland,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2012,Q4 2012,19668.74,2913,0.64159067
United Kingdom,Sales visit,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2012,Q4 2012,62843.04,72,0.43751289
Belgium,Sales visit,Outdoors Shop,Personal Accessories,Binoculars,Seeker 50,2012,Q2 2012,7689.66,61,0.26558782
Switzerland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,23940.18,198,0.56537921
Australia,Sales visit,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2012,Q2 2012,25685.1,30,0.44845066
United Kingdom,Sales visit,Sports Store,Camping Equipment,Tents,Star Gazer 6,2013,Q3 2013,19965.0,25,0.38642625
Germany,Web,Direct Marketing,Outdoor Protection,Insect Repellents,BugShield Lotion,2013,Q4 2013,1491.0,213,0.66714286
Singapore,Web,Golf Shop,Personal Accessories,Watches,Lux,2012,Q2 2012,22424.0,131,0.47310114
Sweden,Web,Direct Marketing,Camping Equipment,Lanterns,EverGlow Single,2013,Q4 2013,14774.4,432,0.45204678
Brazil,Web,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2012,Q4 2012,56589.27,113,0.44535634
Netherlands,Web,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2014,Q1 2014,124027.2,186,0.48771237
Netherlands,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2014,Q1 2014,121902.72,346,0.39449932
Japan,E-mail,Direct Marketing,Outdoor Protection,Sunscreen,Sun Shelter 30,2013,Q3 2013,2925.0,585,0.63
Finland,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2014,Q3 2014,57786.6,822,0.25263158
Canada,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2014,Q2 2014,245428.7,190,0.52776509
Italy,Web,Department Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q4 2013,26625.6,860,0.51550388
Belgium,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q1 2013,5826.45,465,0.367917
Italy,Web,Sports Store,Personal Accessories,Watches,Legend,2012,Q4 2012,41049.6,156,0.42423166
United Kingdom,Web,Sports Store,Camping Equipment,Lanterns,EverGlow Double,2013,Q4 2013,3754.8,72,0.44870566
Austria,Telephone,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2012,Q2 2012,27514.9,230,0.5440107
Austria,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,2013,Q2 2013,47826.8,140,0.48343188
Belgium,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2013,Q1 2013,10257.3,135,0.25138194
United States,Web,Sports Store,Outdoor Protection,First Aid,Calamine Relief,2013,Q4 2013,3324.0,554,0.52833333
France,Web,Outdoors Shop,Personal Accessories,Eyewear,Maximus,2012,Q4 2012,138030.0,1690,0.49557104
Italy,Web,Direct Marketing,Camping Equipment,Lanterns,Firefly 4,2013,Q4 2013,9361.92,318,0.38858696
Italy,Telephone,Sports Store,Outdoor Protection,First Aid,Aloe Relief,2014,Q2 2014,36.61,7,0.63288719
Canada,E-mail,Outdoors Shop,Personal Accessories,Eyewear,Maximus,2013,Q2 2013,43140.0,527,0.49238132
Poland,Web,Sports Store,Golf Equipment,Putters,Course Pro Putter,2014,Q2 2014,51671.58,831,0.5432615
Austria,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2012,Q4 2012,9658.71,249,0.42768755
Germany,Web,Eyewear Store,Personal Accessories,Watches,Zodiak,2013,Q1 2013,15271.6,146,0.42537259
Japan,Web,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2014,Q2 2014,219920.67,658,0.36171921
China,Fax,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2013,Q1 2013,70087.68,81,0.51345229
Canada,E-mail,Sports Store,Camping Equipment,Lanterns,EverGlow Kerosene,2013,Q3 2013,8719.44,282,0.35316947
Canada,E-mail,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2012,Q3 2012,75237.6,115,0.47786745
Switzerland,Web,Outdoors Shop,Personal Accessories,Navigation,Auto Pilot,2013,Q2 2013,6345.0,27,0.3506383
Canada,Web,Department Store,Personal Accessories,Watches,Lux,2013,Q1 2013,22554.0,132,0.47283409
China,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2012,Q4 2012,38915.1,783,0.43420523
Spain,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Extreme,2012,Q3 2012,3953.61,27,0.50488288
